"label","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,113.420172972569,-64.9027192847981,593.779374905068,212.195924293603,-103.593126625715,6840.29735159129,103.246355429292,-5963.61591480672,-5976.10909957439,119.6607388556
1,104.354638142941,-59.2673834560529,579.510145027746,207.551863142087,-100.146595639517,-7864.70558959991,-3790.77951889485,-8544.49868667871,8508.09230469167,-3985.82317400724
1,103.955981066923,-70.7311913081623,593.413069929389,218.206553773154,-95.8161837182548,271.301032043993,1974.45365600288,-172.032681293786,-1152.99241617322,-311.115267686546
1,93.3310953144277,-73.6174636749459,574.520839008717,230.132439212005,-80.0544438616404,9101.10554657876,-9099.44515675306,-2067.0700725168,6394.28697992116,8863.74563444406
1,105.293868433029,-69.828126330252,576.041691496077,212.483274490634,-95.713015828882,6565.61678275466,-6385.39215549827,1405.24588990957,5237.62494791299,9142.89075415581
1,80.0062713640728,-58.4982297428015,562.590977498054,218.217528304538,-85.2367281154467,3618.08958929032,-2878.65778896958,-5972.05693367869,-7586.4679319784,-3354.06994912773
1,77.779019824504,-71.726194926713,575.273384078331,247.60827332862,-109.770826858957,-9113.8136247173,6116.73200502992,-9660.25768313557,484.095052815974,-5648.99083226919
1,102.492103225523,-66.9936302111543,574.536145264541,197.245410914525,-91.0735587337781,9340.97352903336,-10.2937780320644,6134.34954080731,-2182.7821014449,3688.89487348497
1,105.921385753107,-62.5730789635037,576.332387006296,215.760706297496,-89.2528454952878,1776.09373815358,-8473.60006067902,-8873.29425197095,-3794.17001735419,-2692.30028614402
1,89.1340149086571,-67.1579490695374,564.3510571654,237.265789044793,-75.8032912433305,8437.69042752683,-4549.33046828955,2394.81245633215,930.343698710203,4745.17542868853
1,76.8532607812182,-74.1854700979171,573.051905262924,205.623810766351,-93.3214684763546,-7635.15021651983,-3530.51748126745,-4445.54583635181,1428.03736962378,-589.000158943236
1,109.79457781223,-61.0071443758613,585.156594202286,213.660882111585,-84.7440125938227,2839.19023349881,-4757.17070512474,7920.70212773979,6371.00000865757,8165.13538826257
1,76.6494755932414,-71.0303240556193,588.113353581726,209.059194582549,-71.7220919510456,-9777.48210076243,-6914.10658881068,-6916.24025814235,9598.37992209941,1993.58779471368
