Current,FeedbackCurrent,Position,RefAcceleration,RefPosition,RefVelocity,TrackingDeviation,Velocity
-598.8965517000001,566.6,-0.141495476,-3307.193868,-0.060575387,22.72289037,0.05290643,25.01656219
-303.60526319999997,77.61538462,-1.8254073180000001,-1748.242494,-1.9653955,29.05362852,0.030563512999999997,9.241798451000001
-1498.833333,367.4827586,-2.055374134,750.0971394999999,-0.340003509,20.682814,0.08483110599999999,49.21210957
-441.16666669999995,91.85416667,-4.023183267,1034.453,-2.607504419,-9.982619207,0.07608260900000001,8.852488924
-1153.967742,315.525,-5.9780509760000005,-685.5882174,-3.206377696,44.12471818,0.202468703,24.11330475
-245.5,596.9487178999999,-7.640511263,-1861.262857,-1.519113875,13.17854004,0.041260967999999995,7.724934168
672.7096774,706.9411765,-5.056993889,-2744.029928,-3.228528579,-9.2028831,-0.036418949,32.26344157
102.60606059999999,663.0857143,-3.3215882289999996,-2623.235586,-1.797376796,28.39732804,0.023640678,38.63347437
-231.66666669999998,633.627451,0.422234255,1605.1819039999998,-1.04601044,11.4790116,0.034545157,1.796643921
57.75,188.4782609,1.6814619999999998,4930.655,-2.235716696,-25.57128809,-0.034819492,-12.21737738
356.75609760000003,-620.1956522,-0.75865817,2040.653955,-1.9213143480000001,-16.24814618,-0.04745912,-26.75366802
34.0,-185.8,-2.830075952,1244.30055,-1.4037232919999998,-17.03193248,-0.082287914,-16.27912712
46.28571429,-248.1818182,-5.3933616429999995,1784.8006289999998,-3.2333400360000004,30.30340522,0.014794073,-3.136789559
-922.1891892000001,-309.62857139999994,-7.931133394,2739.6091969999998,-2.669694737,-39.59915575,-0.16399407300000002,-8.28611402
-318.3,-219.83333330000002,-6.39444645,3641.6334439999996,-2.724200391,8.472974737000001,0.041357427999999995,-1.564900608
350.7631579,156.175,-3.521941734,-1751.67575,-1.815959435,0.822828762,0.023245561,17.49749724
-636.9705882000001,659.9756097999999,-2.830461311,-1926.3397539999999,-1.18950687,-20.1450543,-0.11232831,9.186842951000001
-228.3823529,-110.9459459,-1.193122385,4790.496895,-2.173175789,-45.454673,-0.079944372,-22.23289126
711.9705882000001,448.7567568,1.2698197070000001,-4101.6666159999995,-2.348274211,-10.51065341,-0.009970637,-5.237889608
-484.0357143,-243.8205128,0.491037915,-1145.248183,-2.617824815,27.0522858,0.042030622000000004,26.62234733
266.1388889,406.0212766,-2.4707901359999997,4678.48,-3.77115135,13.98692667,0.054424901,-16.84009611
-648.7272727000001,-39.71875,-3.32338405,-9587.156824,-1.6577076000000002,24.20067612,0.054523187,25.59480408
-65.84375,622.8604651,-6.245341933,1107.445259,-3.178908462,4.846965654,0.016394013,-0.45235
-594.9166667000001,399.2105263,-7.584821000000001,-1120.6033,-2.820381947,30.12531974,0.081583513,9.103500309
876.2571429,-73.2972973,-5.185377784,4185.412081,-3.7228549610000004,-20.02774711,-0.031118635,-22.5589753
549.875,-68.67647059,-2.124065771,-805.673925,-0.92392333,31.09310583,-0.006305717,23.40127206
101.0,187.0512821,-0.43395933299999995,-3793.815395,-1.8309819230000002,-5.9470168,-0.040020535,5.315200764
856.4516129000001,212.3414634,1.833870378,-1373.118632,-1.385548421,0.02481,0.033199995,-7.414889844
-284.36363639999996,-1104.325,-0.5513955429999999,-2770.293905,-3.010575,-33.25266235,-0.130119194,-26.772738
-764.0526316,-330.3617021,-2.10532119,-3984.0341270000004,-2.440302108,31.46711831,0.026047121,2.516420809
219.5151515,-523.9285714,-3.97332145,6321.071478,-2.42460325,1.4136543330000002,-0.023777987,-19.61760633
-987.3846153999999,-363.68085110000004,-4.477223878,3348.384093,-3.1113881880000003,-13.27106531,0.057221972,13.24544894
552.8108107999999,626.1458332999999,-6.818845529,1103.501567,-2.7105900000000003,12.07909017,-0.032967607,-11.78971791
-6.916666667,-142.6896552,-4.958754828,6049.213521,-3.313011765,6.393877333,0.032113438,5.825889107
-521.7857143,-402.5806452,-4.489283428999999,1991.845774,-2.5209014,-34.40176375,-0.11897695400000001,-26.54309869
-14.73529412,-233.28260869999997,-2.3796867390000003,-2053.974421,-3.440788895,-43.2864732,-0.05000831,-23.19141323
-488.6,961.8,1.0729895,-4279.828189,-0.6294625,3.402827696,-0.0015676479999999998,24.92856195
